fonte,categoria,titulo,resumo_rss,link,data_publicacao,coletado_em
infomoney_geral,geral,Durigan: governo fez esforço para harmonizar necessidades do agro e contas públicas,Ministro da Fazenda também exaltou os resultados recordes das safras agrícolas no país,https://www.infomoney.com.br/politica/durigan-governo-fez-esforco-para-harmonizar-necessidades-do-agro-e-contas-publicas/,"Tue, 30 Jun 2026 16:49:10 +0000",2026-06-30T13:51:23
infomoney_geral,geral,Dona do Ozempic abre loja no Mercado Livre do México e afeta farmacêuticas da B3,"Contudo, JPMorgan vê reação como exagerada e sugere comprar ações das farmacêuticas da B3 na baixa, especialmente de RD Saúde",https://www.infomoney.com.br/mercados/canetas-emagrecedoras-dona-do-ozempic-abre-loja-no-mercado-livre-do-mexico-e-afeta-farmaceuticas-da-b3/,"Tue, 30 Jun 2026 16:45:56 +0000",2026-06-30T13:51:23
infomoney_geral,geral,"Na Cúpula do Mercosul, Lula diz que país vive melhor momento econômico","Ao falar bem do seu governo, Lula citou o crescimento do PIB, queda no desemprego e comparou entrega de obras com gestão bolsonarista",https://www.infomoney.com.br/politica/na-cupula-do-mercosul-lula-diz-que-pais-vive-melhor-momento-economico/,"Tue, 30 Jun 2026 16:42:42 +0000",2026-06-30T13:51:23
infomoney_geral,geral,Lula: Pix pode servir de base para estrutura de pagamentos que beneficie o Mercosul,"Durante discurso na Cúpula do Mercosul, o presidente brasileiro defendeu a integração financeira entre países-membro",https://www.infomoney.com.br/politica/lula-pix-pode-servir-de-base-para-estrutura-de-pagamentos-que-beneficie-o-mercosul/,"Tue, 30 Jun 2026 16:39:51 +0000",2026-06-30T13:51:23
infomoney_geral,geral,Amil será vendida? O que pode em meio a rumores sobre mudanças na companhia,"O interesse de fundos como Advent e Bain Capital sinaliza uma reestruturação societária na operadora, que busca fortalecer sua governança e acelerar investimentos na rede de hospitais próprios",https://www.infomoney.com.br/mercados/amil-sera-vendida-o-que-pode-em-meio-a-rumores-sobre-mudancas-na-companhia/,"Tue, 30 Jun 2026 16:34:30 +0000",2026-06-30T13:51:23
infomoney_geral,geral,Ibovespa Hoje Ao Vivo: Bolsa cai e tenta segurar os 172 mil pontos,Bolsas dos EUA ampliam ganhos após recordes no fechamento ontem,https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-30062026/,"Tue, 30 Jun 2026 16:30:03 +0000",2026-06-30T13:51:23
infomoney_geral,geral,Pré-venda da Bath&Body Works no Brasil está disponível; veja preços,Os envios serão realizados a partir do dia 13 de julho,https://www.infomoney.com.br/consumo/pre-venda-bathbody-works-brasil-precos/,"Tue, 30 Jun 2026 16:17:23 +0000",2026-06-30T13:51:23
infomoney_geral,geral,EUA: Suprema Corte derruba limite de gastos de campanhas; vitória para republicanos,A maioria conservadora do tribunal anulou a regra federal que restringia o montante gasto pelas legendas em coordenação com candidatos ao Congresso e à presidência,https://www.infomoney.com.br/mundo/eua-suprema-corte-derruba-limite-de-gastos-de-campanhas-vitoria-para-republicanos/,"Tue, 30 Jun 2026 16:13:53 +0000",2026-06-30T13:51:23
infomoney_geral,geral,"Corretora comete gafe em e-mail, fica sem ações da SpaceX e pede desculpas","Gigante Mirae Asset Securities, da Coreia do Sul, era uma das 23 coordenadoras do IPO, mas mesmo assim ficou sem alocação na oferta de US$ 86 bilhões — e agora é investigada por reguladores",https://www.infomoney.com.br/onde-investir/corretora-comete-gafe-em-e-mail-fica-sem-acoes-da-spacex-e-pede-desculpas/,"Tue, 30 Jun 2026 16:07:55 +0000",2026-06-30T13:51:23
infomoney_geral,geral,"Governo apresentará proposta de renegociação de dívidas rurais em breve, diz Durigan","O ministro da Fazenda, Dario Durigan, afirmou que o texto alternativo será enviado ao Congresso para evitar um rombo bilionário, em anúncio conjunto ao novo Plano Safra de R$ 610 bilhões",https://www.infomoney.com.br/politica/governo-apresentara-proposta-de-renegociacao-de-dividas-rurais-em-breve-diz-durigan/,"Tue, 30 Jun 2026 16:06:02 +0000",2026-06-30T13:51:23
