titulo,predicao_lexicon,rotulo_manual
Durigan: governo fez esforço para harmonizar necessidades do agro e contas públicas,negativo,positivo
Dona do Ozempic abre loja no Mercado Livre do México e afeta farmacêuticas da B3,negativo,negativo
"Na Cúpula do Mercosul, Lula diz que país vive melhor momento econômico",positivo,positivo
Lula: Pix pode servir de base para estrutura de pagamentos que beneficie o Mercosul,neutro,positivo
Amil será vendida? O que pode em meio a rumores sobre mudanças na companhia,negativo,negativo
Ibovespa Hoje Ao Vivo: Bolsa cai e tenta segurar os 172 mil pontos,positivo,negativo
Pré-venda da Bath&Body Works no Brasil está disponível; veja preços,positivo,neutro
EUA: Suprema Corte derruba limite de gastos de campanhas; vitória para republicanos,negativo,negativo
"Corretora comete gafe em e-mail, fica sem ações da SpaceX e pede desculpas",negativo,negativo
"Governo apresentará proposta de renegociação de dívidas rurais em breve, diz Durigan",neutro,positivo
CNPJ passará a ter letras a partir de  julho. Entenda o motivo,positivo,positivo
Omã leva adiante plano para cobrar pedágio por passagem no Estreito de Ormuz,neutro,neutro
Ex-presidentes e ex-diretores do BC divulgam carta em apoio à PEC da autonomia,positivo,positivo
"Alemanha volta à estaca zero, mais uma vez, após 3º fracasso consecutivo na Copa",neutro,neutro
Petrobras cria mecanismo e limita alta do gás a até 6% a partir de agosto,positivo,positivo
Tesouro Direto paga juros históricos: veja como aproveitar com guia gratuito,positivo,positivo
"Acho muito justas críticas de Erika Hilton ao PSOL pelo fundo eleitoral, diz Boulos",positivo,neutro
"Gramado, calor e acesso colocam estádio da final da Copa sob pressão",positivo,neutro
“Sal é o novo petróleo”: como as baterias de sódio podem redefinir futuro da energia,positivo,positivo
"Principal questão do mercado não é mais identificar se há bolha em IA, aponta XP",neutro,negativo
"A gente não vende ilusão mas tem oportunidade, diz trader sobre operação automatizada",negativo,negativo
JPMorgan aponta forte assimetria e divide estratégias de ações do agro sob o El Niño,neutro,negativo
Ouro fecha dia próximo à estabilidade e recua 12% no mês com Fed mais cauteloso,positivo,negativo
"Bolsas da Europa fecham na maioria em alta com tecnologia, IA e de olho em petróleo",negativo,positivo
FIIs têm pior 1º semestre desde 2022; veja maiores altas e baixas,negativo,negativo
Fundos Imobiliários,neutro,neutro
"‘Nem todo dividendo é igual’: o que FIIs, Fiagros e FI-Infra ensinam sobre risco",neutro,neutro
Criptos,positivo,neutro
"Comprar, esperar ou sair? O que especialistas dizem após o Bitcoin desabar 50%",neutro,negativo
"Renda Fixa Hoje: conheça as taxas de CDBs, LCIs e LCAs na XP com dólar em alta",negativo,negativo
XP International disponibiliza Predictions Market para plataformas XP e Rico,positivo,neutro
"""IPCA+8% não é de graça"": Por que aposta em dólar pode ser chave no 2º semestre",positivo,negativo
"Riqueza no topo cresce, e Brasil soma 9,2 mil novos milionários em um ano",positivo,neutro
Mais um título Tesouro IPCA+ se aproxima dos 8% após resultado fiscal ruim,negativo,negativo
O S&P 500 é imbatível?,positivo,positivo
"Celesc, Tim e Cemig lideram dia mais movimentado em dividendos de junho",positivo,positivo
Bitcoin é o pior investimento do semestre: 3 razões e o que esperar agora,neutro,negativo
"Governo anuncia fim do subsídio de R$0,35 por litro de diesel e avalia mais reversões",neutro,positivo
"Brasil abre 72.960 vagas formais de trabalho em maio, menor saldo para mês desde 2020",negativo,negativo
"PMI dos Estados Unidos medido pelo ISM cai a 56,7 em junho",positivo,neutro
"Índice de confiança do consumidor nos EUA sobe a 91,2 em junho",negativo,negativo
"Abertura de postos de trabalho nos EUA sobe a 7,594 mi em maio, acima do esperado",neutro,positivo
"Setor público tem déficit de R$ 56,1 bi e dívida pública sobe mais que o esperado",positivo,negativo
"Dívida pública bruta do Brasil sobe mais que o esperado em maio, a 81,1% do PIB",negativo,negativo
ONS: Consumo de energia cai até 21% na partida do Brasil na Copa,negativo,neutro
Bradesco eleva PIB de 2026 e vê inflação e Selic maiores neste ano e em 2027,neutro,negativo
Senado adia votação de pauta-bomba da saúde com impacto de R$ 28 bilhões,neutro,positivo
Raphinha treina pela 1ª vez desde a lesão e aumenta otimismo para voltar na Copa,negativo,neutro
ASSISTA AOS GOLS: Haaland marca e classifica Noruega para enfrentar o Brasil na Copa,positivo,neutro
Os bairros com maior índice de roubos e furtos de carros de São Paulo; veja lista,positivo,neutro
Canetas emagrecedoras com preços reduzidos da Eurofarma chegam às farmácias,negativo,neutro
1ª Turma do STF mantém decisão que proíbe aposentadoria compulsória como punição,neutro,neutro
Governo estuda recorrer ao STF se pauta-bomba avançar no Senado,positivo,negativo
Mundo ganhou quase 1 milhão de novos milionários em 2025: o que explica?,positivo,positivo
PF investiga esquema de anúncios falsos com imagem do governo e órgãos públicos,negativo,negativo
Onde assistir Inglaterra x Congo?,positivo,neutro
"Após terremotos, venezuelanos lideram resgates sob acusações contra militares",neutro,neutro
Inglaterra x RD Congo: modelo matemático aponta possível resultado do jogo; veja,negativo,neutro
Goldman vê ações brasileiras baratas e reitera “compra” para Brasil entre emergentes,positivo,positivo
"Minério cai, com cenário de demanda prejudicado por cotas de importação de aço da UE",negativo,negativo
Novo papel do Tesouro cruza 8% ao ano pela 1ª vez com pesquisa eleitoral no radar,positivo,positivo
"Trade eleitoral começou, mas risco maior é fiscal; veja ações para lidar com cenário",negativo,negativo
"O que muda para Petrobras, Vibra e Ultrapar com o fim do subsídio ao diesel?",neutro,neutro
Ibovespa Hoje Ao Vivo: Bolsa cai 1% e perde os 170 mil pontos,positivo,negativo
Petróleo cai mais de 1% mesmo com incertezas sobre acordo entre EUA e Irã no Catar,neutro,negativo
